Date,Surah Name,Ayah Number,Arabic Text,English Text
November 17,Surat al-Baqara, Ayah 153,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ ٱسْتَعِينُوا۟ بِٱلصَّبْرِ وَٱلصَّلَوٰةِ ۚ إِنَّ ٱللَّهَ مَعَ ٱلصَّـٰبِرِينَ ١٥٣,"You who believe, seek help through steadfastness and prayer, for God is with the steadfast."
December 3,Surat Ibrahim, Ayah 24-25,أَلَمْ تَرَ كَيْفَ ضَرَبَ ٱللَّهُ مَثَلًۭا كَلِمَةًۭ طَيِّبَةًۭ كَشَجَرَةٍۢ طَيِّبَةٍ أَصْلُهَا ثَابِتٌۭ وَفَرْعُهَا فِى ٱلسَّمَآءِ ٢٤ تُؤْتِىٓ أُكُلَهَا كُلَّ حِينٍۭ بِإِذْنِ رَبِّهَا ۗ وَيَضْرِبُ ٱللَّهُ ٱلْأَمْثَالَ لِلنَّاسِ لَعَلَّهُمْ يَتَذَكَّرُونَ ٢٥,"[Prophet], do you not see how God makes comparisons? A good word is like a good tree whose root is firm and whose branches are high in the sky, yielding constant fruit by its Lord’s leave- God makes such comparisons for people so that they may reflect-"
December 4,Surat ar-Room, Ayah 23,إِنَّ ٱللَّهَ يُدْخِلُ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ جَنَّـٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَـٰرُ يُحَلَّوْنَ فِيهَا مِنْ أَسَاوِرَ مِن ذَهَبٍۢ وَلُؤْلُؤًۭا ۖ وَلِبَاسُهُمْ فِيهَا حَرِيرٌۭ ٢٣,But God will admit those who believe and do good deeds to Gardens graced with flowing streams; there they will be adorned with golden bracelets and pearls; there they will have silken garments.
December 6,Surah Ibrahim, Ayah 40-41,رَبِّ ٱجْعَلْنِى مُقِيمَ ٱلصَّلَوٰةِ وَمِن ذُرِّيَّتِى ۚ رَبَّنَا وَتَقَبَّلْ دُعَآءِ(40)رَبَّنَا ٱغْفِرْ لِى وَلِوَٰلِدَىَّ وَلِلْمُؤْمِنِينَ يَوْمَ يَقُومُ ٱلْحِسَابُ(41),"Lord, grant that I and my offspring may keep up the prayer. Our Lord, accept my request.Our Lord, forgive me, my parents, and the believers on the Day of Reckoning.’"
December 9,Surah Ali 'Imran, Ayah 160,إِن يَنصُرْكُمُ ٱللَّهُ فَلَا غَالِبَ لَكُمْ ۖ وَإِن يَخْذُلْكُمْ فَمَن ذَا ٱلَّذِى يَنصُرُكُم مِّنۢ بَعْدِهِۦ ۗ وَعَلَى ٱللَّهِ فَلْيَتَوَكَّلِ ٱلْمُؤْمِنُونَ,"If God helps you [believers], no one can overcome you; if He forsakes you, who else can help you? Believers should put their trust in God."
December 14,Surah Nuh, Ayah 26-28,وَقَالَ نُوحٌ رَّبِّ لَا تَذَرْ عَلَى ٱلْأَرْضِ مِنَ ٱلْكَـٰفِرِينَ دَيَّارًا(٢٦) إِنَّكَ إِن تَذَرْهُمْ يُضِلُّوا۟ عِبَادَكَ وَلَا يَلِدُوٓا۟ إِلَّا فَاجِرًا كَفَّارًا(٢٧) رَّبِّ ٱغْفِرْ لِى وَلِوَٰلِدَىَّ وَلِمَن دَخَلَ بَيْتِىَ مُؤْمِنًا وَلِلْمُؤْمِنِينَ وَٱلْمُؤْمِنَـٰتِ وَلَا تَزِدِ ٱلظَّـٰلِمِينَ إِلَّا تَبَارًۢا(٢٨) ,"And Noah said, ‘Lord, do not leave any of the disbelievers on the earth- if you leave them they will lead Your servants astray and beget only sinners and disbelievers- Lord, forgive me, my parents, and whoever enters my house as a believer. Forgive believing men and women but bring nothing but ruin down on the evildoers!’"
December 15,Surah Al-'Adiyat, Ayah 9-11,۞ أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِى ٱلْقُبُورِ(٩) وَحُصِّلَ مَا فِى ٱلصُّدُورِ(١٠) إِنَّ رَبَّهُم بِهِمْ يَوْمَئِذٍ لَّخَبِيرٌۢ(١١) ,"Does he not know that when the contents of graves burst forth, when the secrets of hearts are uncovered, on that Day, their Lord will be fully aware of them all?"
December 17,Surah Ghafir, Ayah 82,أَفَلَمْ يَسِيرُوا۟ فِى ٱلْأَرْضِ فَيَنظُرُوا۟ كَيْفَ كَانَ عَـٰقِبَةُ ٱلَّذِينَ مِن قَبْلِهِمْ ۚ كَانُوٓا۟ أَكْثَرَ مِنْهُمْ وَأَشَدَّ قُوَّةً وَءَاثَارًا فِى ٱلْأَرْضِ فَمَآ أَغْنَىٰ عَنْهُم مَّا كَانُوا۟ يَكْسِبُونَ,"Have they not travelled through the land and seen how those who lived before them met their end? They were more numerous than them, stronger than them, and made a more impressive mark on the land, yet what they achieved was of no use to them at all."
December 20,Surat An-Nisa, Ayah 27-28,وَٱللَّهُ يُرِيدُ أَن يَتُوبَ عَلَيْكُمْ وَيُرِيدُ ٱلَّذِينَ يَتَّبِعُونَ ٱلشَّهَوَٰتِ أَن تَمِيلُوا۟ مَيْلًا عَظِيمًا (٢٧) يُرِيدُ ٱللَّهُ أَن يُخَفِّفَ عَنكُمْ ۚ وَخُلِقَ ٱلْإِنسَـٰنُ ضَعِيفًا (٢٨) ,"He wishes to turn towards you, but those who follow their desires want you to go far astray. God wishes to lighten your burden; man was created weak."
December 24,Surat Al-'Ankabut, Ayah 41,مَثَلُ ٱلَّذِينَ ٱتَّخَذُوا۟ مِن دُونِ ٱللَّهِ أَوْلِيَآءَ كَمَثَلِ ٱلْعَنكَبُوتِ ٱتَّخَذَتْ بَيْتًا ۖ وَإِنَّ أَوْهَنَ ٱلْبُيُوتِ لَبَيْتُ ٱلْعَنكَبُوتِ ۖ لَوْ كَانُوا۟ يَعْلَمُونَ,Those who take protectors other than God can be compared to spiders building themselves houses- the spider’s is the frailest of all houses- if only they could understand.
December 26,Surat Al-Furqan, Ayah 26-29,ٱلْمُلْكُ يَوْمَئِذٍ ٱلْحَقُّ لِلرَّحْمَـٰنِ ۚ وَكَانَ يَوْمًا عَلَى ٱلْكَـٰفِرِينَ عَسِيرًا (٢٦) وَيَوْمَ يَعَضُّ ٱلظَّالِمُ عَلَىٰ يَدَيْهِ يَقُولُ يَـٰلَيْتَنِى ٱتَّخَذْتُ مَعَ ٱلرَّسُولِ سَبِيلًا (٢٧) يَـٰوَيْلَتَىٰ لَيْتَنِى لَمْ أَتَّخِذْ فُلَانًا خَلِيلًا (٢٨) لَّقَدْ أَضَلَّنِى عَنِ ٱلذِّكْرِ بَعْدَ إِذْ جَآءَنِى ۗ وَكَانَ ٱلشَّيْطَـٰنُ لِلْإِنسَـٰنِ خَذُولًا (٢٩) ,"on that Day, true authority belongs to the Lord of Mercy. It will be a grievous Day for the disbelievers. On that Day the evildoer will bite his own hand and say, ‘If only I had taken the same path as the Messenger. Woe is me! If only I had not taken so and so as a friend- he led me away from the Revelation after it reached me. Satan has always betrayed mankind.’"
January 1,Surat Al-Fatihah, Ayah 1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,"In the name of God, the Lord of Mercy, the Giver of Mercy!"
January 2,Surat Al-Isra, Ayah 26,وَءَاتِ ذَا ٱلْقُرْبَىٰ حَقَّهُۥ وَٱلْمِسْكِينَ وَٱبْنَ ٱلسَّبِيلِ وَلَا تُبَذِّرْ تَبْذِيرًا,"Give relatives their due, and the needy, and travellers- do not squander your wealth wastefully:"
January 3,Surat At-Tawbah, Ayah 38,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ مَا لَكُمْ إِذَا قِيلَ لَكُمُ ٱنفِرُوا۟ فِى سَبِيلِ ٱللَّهِ ٱثَّاقَلْتُمْ إِلَى ٱلْأَرْضِ ۚ أَرَضِيتُم بِٱلْحَيَوٰةِ ٱلدُّنْيَا مِنَ ٱلْـَٔاخِرَةِ ۚ فَمَا مَتَـٰعُ ٱلْحَيَوٰةِ ٱلدُّنْيَا فِى ٱلْـَٔاخِرَةِ إِلَّا قَلِيلٌ,"Believers, why, when it is said to you, ‘Go and fight in God’s way,’ do you feel weighed down to the ground? Do you prefer this world to the life to come? How small the enjoyment of this world is, compared with the life to come!"
January 5,Surat Ash-Shu'ara, Ayah 78-82,ٱلَّذِى خَلَقَنِى فَهُوَ يَهْدِينِ (٧٨) وَٱلَّذِى هُوَ يُطْعِمُنِى وَيَسْقِينِ (٧٩) وَإِذَا مَرِضْتُ فَهُوَ يَشْفِينِ (٨٠) وَٱلَّذِى يُمِيتُنِى ثُمَّ يُحْيِينِ (٨١) وَٱلَّذِىٓ أَطْمَعُ أَن يَغْفِرَ لِى خَطِيٓـَٔتِى يَوْمَ ٱلدِّينِ (٨٢) ,"who created me. It is He who guides me; He who gives me food and drink; He who cures me when I am ill; He who will make me die and then give me life again; and He who will, I hope, forgive my faults on the Day of Judgement."
January 8,Surat Al-Ghashiyah, Ayah 17-20,أَفَلَا يَنظُرُونَ إِلَى ٱلْإِبِلِ كَيْفَ خُلِقَتْ (١٧) وَإِلَى ٱلسَّمَآءِ كَيْفَ رُفِعَتْ (١٨) وَإِلَى ٱلْجِبَالِ كَيْفَ نُصِبَتْ (١٩) وَإِلَى ٱلْأَرْضِ كَيْفَ سُطِحَتْ (٢٠) ,"Do the disbelievers not see how rain clouds are formed 1 how the heavens are lifted, how the mountains are raised high, how the earth is spread out?"
January 9,Surat Al-A'raf, Ayah 131,فَإِذَا جَآءَتْهُمُ ٱلْحَسَنَةُ قَالُوا۟ لَنَا هَـٰذِهِۦ ۖ وَإِن تُصِبْهُمْ سَيِّئَةٌ يَطَّيَّرُوا۟ بِمُوسَىٰ وَمَن مَّعَهُۥٓ ۗ أَلَآ إِنَّمَا طَـٰٓئِرُهُمْ عِندَ ٱللَّهِ وَلَـٰكِنَّ أَكْثَرَهُمْ لَا يَعْلَمُونَ,"then, when something good came their way, they said, ‘This is our due!’. When something bad came, they ascribed it to the evil omen of Moses and those with him, but their ‘evil omen’ was really from God, though most of them did not realize it."
January 10,Surah Nuh, Ayah 15-18,أَلَمْ تَرَوْا۟ كَيْفَ خَلَقَ ٱللَّهُ سَبْعَ سَمَـٰوَٰتٍ طِبَاقًا (١٥) وَجَعَلَ ٱلْقَمَرَ فِيهِنَّ نُورًا وَجَعَلَ ٱلشَّمْسَ سِرَاجًا (١٦) وَٱللَّهُ أَنۢبَتَكُم مِّنَ ٱلْأَرْضِ نَبَاتًا (١٧) ثُمَّ يُعِيدُكُمْ فِيهَا وَيُخْرِجُكُمْ إِخْرَاجًا (١٨) ,"Have you ever wondered how God created seven heavens, one above the other, placed the moon as a light in them and the sun as a lamp, how God made you spring forth from the earth like a plant, how He will return you into it and then bring you out again,"
January 11,Surat Al-Isra, Ayah 80,وَقُل رَّبِّ أَدْخِلْنِى مُدْخَلَ صِدْقٍ وَأَخْرِجْنِى مُخْرَجَ صِدْقٍ وَٱجْعَل لِّى مِن لَّدُنكَ سُلْطَـٰنًا نَّصِيرًا,"Say, ‘My Lord, make me go in truthfully, and come out truthfully, and grant me supporting authority from You.’"
January 13,Surat Az-Zumar, Ayah 22,أَفَمَن شَرَحَ ٱللَّهُ صَدْرَهُۥ لِلْإِسْلَـٰمِ فَهُوَ عَلَىٰ نُورٍ مِّن رَّبِّهِۦ ۚ فَوَيْلٌ لِّلْقَـٰسِيَةِ قُلُوبُهُم مِّن ذِكْرِ ٱللَّهِ ۚ أُو۟لَـٰٓئِكَ فِى ضَلَـٰلٍ مُّبِينٍ,"What about the one whose heart God has opened in devotion to Him, so that he walks in light from his Lord? Alas for those whose hearts harden at the mention of God! They have clearly lost their way."
January 14,Surat An-Nisa, Ayah 27-28,وَٱللَّهُ يُرِيدُ أَن يَتُوبَ عَلَيْكُمْ وَيُرِيدُ ٱلَّذِينَ يَتَّبِعُونَ ٱلشَّهَوَٰتِ أَن تَمِيلُوا۟ مَيْلًا عَظِيمًا (٢٧) يُرِيدُ ٱللَّهُ أَن يُخَفِّفَ عَنكُمْ ۚ وَخُلِقَ ٱلْإِنسَـٰنُ ضَعِيفًا (٢٨) ,"He wishes to turn towards you, but those who follow their lusts want you to go far astray. God wishes to lighten your burden; man was created weak."
January 18,Surat Al-Anfal, Ayah 40,وَإِن تَوَلَّوْا۟ فَٱعْلَمُوٓا۟ أَنَّ ٱللَّهَ مَوْلَىٰكُمْ ۚ نِعْمَ ٱلْمَوْلَىٰ وَنِعْمَ ٱلنَّصِيرُ,"but if they pay no heed, be sure that God is your protector, the best protector and the best helper."
January 20,Surat Az-Zumar, Ayah 18,ٱلَّذِينَ يَسْتَمِعُونَ ٱلْقَوْلَ فَيَتَّبِعُونَ أَحْسَنَهُۥٓ ۚ أُو۟لَـٰٓئِكَ ٱلَّذِينَ هَدَىٰهُمُ ٱللَّهُ ۖ وَأُو۟لَـٰٓئِكَ هُمْ أُو۟لُوا۟ ٱلْأَلْبَـٰبِ,who listen to what is said and follow what is best. These are the ones God has guided; these are the people of understanding.
January 20,Surat Al-Qasas, Ayah 24,فَسَقَىٰ لَهُمَا ثُمَّ تَوَلَّىٰٓ إِلَى ٱلظِّلِّ فَقَالَ رَبِّ إِنِّى لِمَآ أَنزَلْتَ إِلَىَّ مِنْ خَيْرٍ فَقِيرٌ,"He watered their flocks for them, withdrew into the shade, and prayed, ‘My Lord, I am in dire need of whatever good thing You may send me,’"
January 21,Surat Az-Zukhruf, Ayah 13-14,لِتَسْتَوُۥا۟ عَلَىٰ ظُهُورِهِۦ ثُمَّ تَذْكُرُوا۟ نِعْمَةَ رَبِّكُمْ إِذَا ٱسْتَوَيْتُمْ عَلَيْهِ وَتَقُولُوا۟ سُبْحَـٰنَ ٱلَّذِى سَخَّرَ لَنَا هَـٰذَا وَمَا كُنَّا لَهُۥ مُقْرِنِينَ (١٣) وَإِنَّآ إِلَىٰ رَبِّنَا لَمُنقَلِبُونَ (١٤) ,"so that you may remember your Lord’s grace when you are seated on them and say, ‘Glory be to Him who has given us control over this; we could not have done it by ourselves. Truly it is to our Lord that we are returning.’"
January 26,Surat Yunus, Ayah 62-64,أَلَآ إِنَّ أَوْلِيَآءَ ٱللَّهِ لَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ (٦٢) ٱلَّذِينَ ءَامَنُوا۟ وَكَانُوا۟ يَتَّقُونَ (٦٣) لَهُمُ ٱلْبُشْرَىٰ فِى ٱلْحَيَوٰةِ ٱلدُّنْيَا وَفِى ٱلْـَٔاخِرَةِ ۚ لَا تَبْدِيلَ لِكَلِمَـٰتِ ٱللَّهِ ۚ ذَٰلِكَ هُوَ ٱلْفَوْزُ ٱلْعَظِيمُ (٦٤) ,"But for those who are on God’s side there is no fear, nor shall they grieve. For those who believe and are conscious of God, for them there is good news in this life and in the Hereafter- there is no changing the promises of God- that is truly the supreme triumph."
January 27,Surat As-Saf, Ayah 8,يُرِيدُونَ لِيُطْفِـُٔوا۟ نُورَ ٱللَّهِ بِأَفْوَٰهِهِمْ وَٱللَّهُ مُتِمُّ نُورِهِۦ وَلَوْ كَرِهَ ٱلْكَـٰفِرُونَ,"they wish to put His light out with their mouths. But He will perfect His light, even though the disbelievers hate it;"
January 28,Surat At-Takathur, Ayah 1-2,أَلْهَىٰكُمُ ٱلتَّكَاثُرُ (١) حَتَّىٰ زُرْتُمُ ٱلْمَقَابِرَ (٢) ,"Striving for more distracts you, until you go into your graves."
January 31,Surat Az-Zukhruf, Ayahs 33-36,وَلَوْلَآ أَن يَكُونَ ٱلنَّاسُ أُمَّةً وَٰحِدَةً لَّجَعَلْنَا لِمَن يَكْفُرُ بِٱلرَّحْمَـٰنِ لِبُيُوتِهِمْ سُقُفًا مِّن فِضَّةٍ وَمَعَارِجَ عَلَيْهَا يَظْهَرُونَ (٣٣) وَلِبُيُوتِهِمْ أَبْوَٰبًا وَسُرُرًا عَلَيْهَا يَتَّكِـُٔونَ (٣٤) وَزُخْرُفًا ۚ وَإِن كُلُّ ذَٰلِكَ لَمَّا مَتَـٰعُ ٱلْحَيَوٰةِ ٱلدُّنْيَا ۚ وَٱلْـَٔاخِرَةُ عِندَ رَبِّكَ لِلْمُتَّقِينَ (٣٥) وَمَن يَعْشُ عَن ذِكْرِ ٱلرَّحْمَـٰنِ نُقَيِّضْ لَهُۥ شَيْطَـٰنًا فَهُوَ لَهُۥ قَرِينٌ (٣٦) ,"If it were not that all mankind might have become a single nation [of disbelievers], We could have given all those who disbelieve in the Lord of Mercy houses with roofs of silver, sweeping staircases to ascend, massive gates, couches to sit on, and golden ornaments. All of these are mere enjoyments of this life; your Lord reserves the next life for those who take heed of Him. We assign an evil one as a comrade for whoever turns away from the revelations of the Lord of Mercy:"
February 2,Surat An-Najm, Ayah 39,وَأَن لَّيْسَ لِلْإِنسَـٰنِ إِلَّا مَا سَعَىٰ,that man will only have what he has worked towards;
February 4,Surat Al-Isra, Ayah 110-111,قُلِ ٱدْعُوا۟ ٱللَّهَ أَوِ ٱدْعُوا۟ ٱلرَّحْمَـٰنَ ۖ أَيًّا مَّا تَدْعُوا۟ فَلَهُ ٱلْأَسْمَآءُ ٱلْحُسْنَىٰ ۚ وَلَا تَجْهَرْ بِصَلَاتِكَ وَلَا تُخَافِتْ بِهَا وَٱبْتَغِ بَيْنَ ذَٰلِكَ سَبِيلًا (١١٠) وَقُلِ ٱلْحَمْدُ لِلَّهِ ٱلَّذِى لَمْ يَتَّخِذْ وَلَدًا وَلَمْ يَكُن لَّهُۥ شَرِيكٌ فِى ٱلْمُلْكِ وَلَمْ يَكُن لَّهُۥ وَلِىٌّ مِّنَ ٱلذُّلِّ ۖ وَكَبِّرْهُ تَكْبِيرًۢا (١١١) ,"Say [to them], ‘Call on God, or on the Lord of Mercy- whatever names you call Him, the best names belong to Him.’ [Prophet], do not be too loud in your prayer, or too quiet, but seek a middle way and say, ‘Praise belongs to God, who has no child nor partner in His rule. He is not so weak as to need a protector. Proclaim His limitless greatness!’"
February 10,Surat Al-Anbya, Ayah 30,أَوَلَمْ يَرَ ٱلَّذِينَ كَفَرُوٓا۟ أَنَّ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ كَانَتَا رَتْقًا فَفَتَقْنَـٰهُمَا ۖ وَجَعَلْنَا مِنَ ٱلْمَآءِ كُلَّ شَىْءٍ حَىٍّ ۖ أَفَلَا يُؤْمِنُونَ,"Are the disbelievers not aware that the heavens and the earth used to be joined together and that We ripped them apart, that We made every living thing from water? Will they not believe?"
February 12,Surat At-Talaq, Ayah 3,وَيَرْزُقْهُ مِنْ حَيْثُ لَا يَحْتَسِبُ ۚ وَمَن يَتَوَكَّلْ عَلَى ٱللَّهِ فَهُوَ حَسْبُهُۥٓ ۚ إِنَّ ٱللَّهَ بَـٰلِغُ أَمْرِهِۦ ۚ قَدْ جَعَلَ ٱللَّهُ لِكُلِّ شَىْءٍ قَدْرًا,and will provide for them from an unexpected source; God will be enough for those who put their trust in Him. God achieves His purpose; God has set a due measure for everything.
February 20,Surat Al-An'am, Ayah 162,قُلْ إِنَّ صَلَاتِى وَنُسُكِى وَمَحْيَاىَ وَمَمَاتِى لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,"Say, ‘My prayers and sacrifice, my life and death, are all for God, Lord of all the Worlds;"
February 21,Surat Al-An'am, Ayah 165,وَهُوَ ٱلَّذِى جَعَلَكُمْ خَلَـٰٓئِفَ ٱلْأَرْضِ وَرَفَعَ بَعْضَكُمْ فَوْقَ بَعْضٍ دَرَجَـٰتٍ لِّيَبْلُوَكُمْ فِى مَآ ءَاتَىٰكُمْ ۗ إِنَّ رَبَّكَ سَرِيعُ ٱلْعِقَابِ وَإِنَّهُۥ لَغَفُورٌ رَّحِيمٌۢ,"It is He who made you successors on the earth and raises some of you above others in rank, to test you through what He gives you. [Prophet], your Lord is swift in punishment, yet He is most forgiving and merciful."
February 22,Surah Fussilat, Ayah 30,إِنَّ ٱلَّذِينَ قَالُوا۟ رَبُّنَا ٱللَّهُ ثُمَّ ٱسْتَقَـٰمُوا۟ تَتَنَزَّلُ عَلَيْهِمُ ٱلْمَلَـٰٓئِكَةُ أَلَّا تَخَافُوا۟ وَلَا تَحْزَنُوا۟ وَأَبْشِرُوا۟ بِٱلْجَنَّةِ ٱلَّتِى كُنتُمْ تُوعَدُونَ,"As for those who say, ‘Our Lord is God,’ and take the straight path towards Him, the angels come down to them and say, ‘Have no fear or grief, but rejoice in the good news of Paradise, which you have been promised."
February 25,Surat Al-An'am, Ayah 64,قُلِ ٱللَّهُ يُنَجِّيكُم مِّنْهَا وَمِن كُلِّ كَرْبٍ ثُمَّ أَنتُمْ تُشْرِكُونَ,"Say, ‘God rescues you from this and every distress; yet still you worship others beside Him.’"
February 27,Surat An-Nazi'at, Ayah 40-41,وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِۦ وَنَهَى ٱلنَّفْسَ عَنِ ٱلْهَوَىٰ (٤٠) فَإِنَّ ٱلْجَنَّةَ هِىَ ٱلْمَأْوَىٰ (٤١) ,"for anyone who feared the meeting with his Lord and restrained himself from base desires, Paradise will be home."
